"state_m","gender_m","city_m","OPEN_DT","empstat","age","p_churn"
"CA","F","San Francisco","15JAN2012","fulltime","          30"," 0.939289059"
"CA","F","San Diego","16APR2014","fulltime","          30","0.1951219804"
"CA","Male","Los Angeles","22JAN2013","fulltime","          31","0.8427382367"
"Washington","M","Seattle","15MAR2012","fulltime","          32","0.4079826672"
"CO","M","Denver","08JUN2012","fulltime","          28","0.3591981923"
"ID","M","BOISE","30MAR2012","parttime","          36","0.7705199783"
"UT","F","provo","15NOV2013","fulltime","          40","0.3508861621"
"NV","F","Las Vegas","08DEC2013","fulltime","          35","0.3617872062"
"UT","F","provo","20JUN2013","fulltime","          28","0.3423234175"
"CA","M","San Diego","16JUL2012","fulltime","          54","0.9580985531"
"AZ","F","Tucson","12APR2013","fulltime","          31","0.8866931009"
"CA","M","San Jose","12DEC2012","fulltime","          34","0.6346893286"
"ID","F","BOISE","06DEC2012","fulltime","          26","0.3347133251"
"AZ","M","Phoenix","07MAR2013","fulltime","          28","0.8827376677"
"CA","F","San Francisco","10JUN2013","fulltime","          47","0.0294997557"
"CA","Male","Los Angeles","19FEB2013","fulltime","          34","0.8070994861"
"Wyoming","M","CHeyenne","30MAR2013","parttime","          34","0.2802691843"
"Washington","M","Seattle","30MAR2012","fulltime","          49","0.3581982932"
"AZ","M","Phoenix","25AUG2012","fulltime","          31","0.1838485134"
"CA","M","San Francisco","05APR2012","fulltime","          44","0.5574434919"
"AZ","M","Phoenix","10NOV2013","fulltime","          57","0.5932605446"
"OR","M","PORTland","08MAR2012","other","          29","0.5444220521"
"Arizona","M","Tucson","04JAN2014","fulltime","          45","0.1930738307"
"AZ","F","Tucson","30MAR2013","fulltime","          45","0.3494128326"
"CA","M","San Francisco","10NOV2013","fulltime","          29","0.3849580187"
"Arizona","M","Phoenix","05MAR2012","fulltime","          43","0.0728551969"
"NV","M","Las Vegas","05OCT2013","fulltime","          49","0.9766724571"
"Nevada","F","Las Vegas","05OCT2013","fulltime","          28","0.8705014525"
"WA","M","Seattle","15JUN2012","fulltime","          29","0.9008289543"
"Arizona","F","Tucson","15MAR2012","parttime","          36","0.9231238467"
"AZ","M","Phoenix","03APR2014","fulltime","          35"," 0.747920479"
"OR","M","PORTland","25AUG2012","other","          29","0.7663207472"
"CA","M","San Diego","30JUN2012","fulltime","          32","0.0836455184"
"Washington","F","Seatlle","30MAR2013","fulltime","          39","0.5685717727"
"OR","F","PORTland","13SEP2012","other","          37","0.5662833869"
"Washington","M","Seattle","25AUG2012","fulltime","          56","0.4368266526"
"WA","M","Seattle","04JUN2013","fulltime","          36","0.8105397624"
"CA","F","San Diego","04DEC2012","fulltime","          28","0.0928102276"
"AZ","M","Tucson","25JUL2013","fulltime","          61","0.1590208198"
"ID","M","BOISE","08JUN2012","fulltime","          31","0.2343221671"
"Arizona","M","Phoenix","16JUL2012","fulltime","          31","0.3919271074"
"WA","F","Seatlle","15FEB2014","fulltime","          59","0.2664865396"
"CA","M","San Jose","06APR2014","fulltime","          46","0.0572415483"
"Wyoming","M","CHeyenne","11AUG2013","parttime","          33","0.3892401696"
"CA","M","San Diego","09MAY2013","fulltime","          56","0.0412011487"
"WA","M","Seattle","06MAY2014","fulltime","          30","0.4628439296"
"NV","F","Las Vegas","04MAY2014","fulltime","          34","0.7647468819"
"UT","M","provo","13AUG2013","fulltime","          47","0.8973340773"
"Wyoming","F","CHeyenne","01JUN2012","parttime","          29","0.6445429556"
"Nevada","M","Las Vegas","04MAY2014","fulltime","          34","0.7243970343"
"CA","F","San Diego","21FEB2012","fulltime","          28","0.7076616887"
"CA","M","San Jose","04JAN2014","fulltime","          57","0.2062994462"
"WY","M","CHeyenne","30MAR2013","parttime","          43","0.4642120364"
"CA","F","San Francisco","05SEP2013","fulltime","          40","0.5881625333"
"CA","M","San Francisco","16MAY2013","fulltime","          29","0.2732094346"
"CA","Female","Los Angeles","19FEB2013","fulltime","          26","0.8457537051"
"ID","F","BOISE","05SEP2013","parttime","          36","0.8556012697"
"CA","M","San Francisco","26AUG2012","fulltime","          45","0.9698422146"
"Washington","F","Seatlle","05APR2012","fulltime","          29","0.1791036763"
"OR","M","PORTland","03APR2012","other","          36","0.2814753634"
"CA","F","San Diego","13AUG2013","fulltime","          42","0.6310246078"
"Wyoming","M","CHeyenne","29MAR2014","parttime","          56","0.0785875256"
"WA","F","Seatlle","05MAR2012","fulltime","          39","0.4380737042"
"CA","M","San Diego","25AUG2012","fulltime","          27","0.7720044329"
"CA","F","Los Angeles","19FEB2013","fulltime","          29","0.0091630397"
"CA","M","San Diego","10FEB2012","fulltime","          42","0.6603065462"
"Nevada","F","Las Vegas","01JAN2012","fulltime","          29","0.3245694867"
"CA","M","San Jose","05SEP2013","fulltime","          26","0.0578674777"
"CA","F","San Francisco","24SEP2012","fulltime","          28","0.7816590335"
"CA","Female","Los Angeles","19FEB2013","fulltime","          32","0.4037107324"
"AZ","F","Phoenix","06APR2014","fulltime","          42","0.7520351115"
"WA","M","Seattle","04MAY2012","fulltime","          28","0.1044081059"
"CO","M","Denver","04MAY2014","fulltime","          42","0.1949839267"
"AZ","M","Phoenix","01JAN2012","fulltime","          31"," 0.380034859"
"CA","M","San Francisco","14OCT2013","fulltime","          28","0.5117318987"
"CA","M","Los Angeles","22JAN2013","fulltime","          57","0.8811970092"
"CA","Female","Los Angeles","19FEB2013","fulltime","          38","0.6891168876"
"Arizona","M","Phoenix","10NOV2013","fulltime","          36","  0.59004436"
"UT","M","provo","30MAR2013","fulltime","          29","0.0304648243"
"CA","Man","Los Angeles","16JUL2012","fulltime","          50","0.7109783682"
"Washington","M","Seattle","19SEP2013","fulltime","          54","0.4185315661"
"OR","M","PORTland","08MAY2013","other","          54","0.0581878964"
"CA","F","San Francisco","10NOV2013","fulltime","          32","0.2387187622"
"CA","M","San Francisco","25MAR2013","fulltime","          27","0.6679587614"
"CA","M","San Diego","06NOV2012","fulltime","          34","0.2060581898"
"AZ","M","Phoenix","05MAR2012","other","          37","0.3446756752"
"CA","M","San Diego","10OCT2013","fulltime","          29","0.3637618531"
"CA","Man","Los Angeles","22JAN2013","fulltime","          48","0.1805914013"
"CA","M","San Francisco","08DEC2013","fulltime","          36","0.9650227204"
"AZ","M","Phoenix","04MAY2014","fulltime","          47","0.5040744341"
"Washington","M","Seattle","10NOV2013","fulltime","          35"," 0.993946813"
"CA","Woman","Los Angeles","22JAN2013","fulltime","          37","0.7706190565"
"CA","Male","Los Angeles","19FEB2013","fulltime","          28","0.2771494315"
"CO","M","Denver","05MAR2012","parttime","          29","0.0186580629"
"Arizona","M","Phoenix","04MAY2014","other","          27","0.1638139124"
"OR","F","PORTland","21FEB2012","other","          34","0.5601592616"
"CA","Male","Los Angeles","22JAN2013","fulltime","          28","0.2485207879"
"CA","Woman","Los Angeles","22JAN2013","fulltime","          38","0.8755591129"
"AZ","M","Tucson","13SEP2012","fulltime","          35"," 0.893289254"
"CA","Female","Los Angeles","19FEB2013","fulltime","          28","0.2776300699"
"Arizona","M","Phoenix","31OCT2012","fulltime","          36","0.7244855295"
"Washington","F","Seatlle","07FEB2012","fulltime","          31","0.5601038772"
"ID","M","BOISE","16APR2014","fulltime","          30","0.4802131259"
"WA","M","Seattle","25JUL2013","fulltime","          29","0.7720397645"
"Nevada","F","Las Vegas","28MAR2014","fulltime","          29","0.9569313312"
"CA","F","San Jose","15JUN2012","fulltime","          28","0.4083768532"
"Arizona","F","Phoenix","20JUN2013","other","          33","0.8193032666"
"ID","M","BOISE","16JUL2012","parttime","          33","0.3080915764"
"Nevada","M","Las Vegas","05DEC2013","fulltime","          34","0.5983918675"
"CA","M","San Francisco","04MAY2014","fulltime","          34","0.2930856786"
"OR","M","PORTland","05APR2012","other","          38","0.3878395028"
"CA","M","San Francisco","07FEB2012","fulltime","          59","0.7405572477"
"ID","F","BOISE","25AUG2012","fulltime","          34","0.0211627903"
"NV","M","Las Vegas","10NOV2013","fulltime","          34","0.5379527889"
"OR","M","PORTland","15NOV2013","other","          32","0.2130401322"
"CA","Female","Los Angeles","19FEB2013","fulltime","          63","0.1069653845"
"AZ","F","Phoenix","26AUG2012","other","          29"," 0.633977434"
"CA","M","San Diego","25JUL2013","fulltime","          40","0.9419740266"
"CA","F","San Diego","04DEC2012","fulltime","          37","0.9932235018"
"CA","F","San Francisco","20JUN2013","fulltime","          51","0.2267988619"
"Washington","F","Seatlle","15MAY2014","fulltime","          38","0.4250018929"
"WA","M","Seattle","21NOV2012","fulltime","          43","0.1716113482"
"AZ","M","Phoenix","05APR2012","fulltime","          34","0.0264874552"
"CO","M","Denver","15JUN2012","parttime","          27","0.7722327741"
"CA","Female","Los Angeles","15DEC2012","fulltime","          55","0.8683308106"
"UT","M","provo","25OCT2012","fulltime","          59","0.6358769469"
"Arizona","M","Phoenix","15JUN2012","fulltime","          46","0.5707925174"
"UT","M","provo","06JUL2013","fulltime","          48","0.9722200748"
"CA","M","San Diego","01JAN2012","fulltime","          31","0.9406776032"
"CA","M","San Jose","10JUL2013","fulltime","          30","0.2258778746"
"ID","F","BOISE","01JUN2012","fulltime","          39","0.3652168174"
"CO","F","Denver","21FEB2012","fulltime","          36","0.9120308272"
"CA","M","San Francisco","08DEC2013","fulltime","          37","0.2067014231"
"AZ","F","Tucson","25AUG2012","parttime","          28","0.0964344312"
"CA","F","San Jose","18JUL2012","fulltime","          35","0.2687325954"
"OR","F","PORTland","18DEC2012","other","          27","0.0936625447"
"Washington","F","Seatlle","21NOV2012","fulltime","          43","0.1732212534"
"CA","M","San Jose","09FEB2014","fulltime","          28","0.7212289095"
"WA","F","Seatlle","30MAR2013","fulltime","          29","0.6652219443"
"CO","F","Denver","05SEP2013","parttime","          29","0.2470516876"
"UT","F","provo","14OCT2013","fulltime","          54","0.5609759095"
"OR","M","PORTland","22MAY2014","other","          29","0.6051256371"
"CA","F","San Diego","30MAR2013","fulltime","          32","0.7872321721"
"WA","M","Seattle","10OCT2013","fulltime","          41","0.1626995742"
"NV","M","Las Vegas","28AUG2012","fulltime","          37","0.2416906707"
"CA","Female","Los Angeles","22JAN2013","fulltime","          52","0.1602903084"
"Wyoming","F","CHeyenne","10JUN2013","parttime","          27","0.6591274499"
"CA","F","San Francisco","15JUN2012","fulltime","          34","  0.04200004"
"CA","M","San Francisco","01JUN2012","fulltime","          30","0.2639502111"
"Washington","M","Seattle","07FEB2012","fulltime","          38","0.6301107875"
"Nevada","M","Las Vegas","26JAN2012","fulltime","          37","0.3692190397"
"OR","M","PORTland","15MAY2012","other","          46","0.1720154705"
"CA","F","San Francisco","15MAR2012","fulltime","          32","0.6175787564"
"CA","F","Los Angeles","19FEB2013","fulltime","          29","0.0050387215"
"UT","M","provo","30MAR2013","fulltime","          29","0.9836025909"
"AZ","M","Phoenix","16APR2014","fulltime","          35","0.5958632047"
"NV","M","Las Vegas","26AUG2012","fulltime","          29","0.2674046323"
"CA","M","San Jose","21FEB2012","fulltime","          37","0.2947183327"
"CA","F","San Diego","10OCT2013","fulltime","          36","0.3953104165"
"OR","M","PORTland","13JAN2014","other","          29","0.5450049981"
"AZ","M","Tucson","16MAY2013","parttime","          26","  0.54937899"
"AZ","M","Tucson","01JAN2012","fulltime","          31","0.3470625767"
"CO","F","Denver","01MAY2012","fulltime","          28"," 0.459027156"
"CA","F","San Diego","30MAR2012","fulltime","          29","0.2779875078"
"Arizona","F","Tucson","04MAY2012","fulltime","          34"," 0.668718634"
"ID","F","BOISE","26JAN2012","parttime","          44","0.1035348666"
"NV","F","Las Vegas","20MAR2013","fulltime","          50","0.9064719975"
"Arizona","F","Phoenix","30MAR2013","other","          28","0.5968523252"
"CA","F","Los Angeles","09MAY2013","fulltime","          37","0.9047737019"
"CO","M","Denver","10NOV2013","fulltime","          28","0.4946527409"
"AZ","F","Phoenix","22MAY2014","fulltime","          31","0.3657153926"
"ID","F","BOISE","06DEC2012","fulltime","          31","0.2338936311"
"UT","M","provo","30MAR2013","fulltime","          32"," 0.071252272"
"CA","M","San Francisco","01APR2013","fulltime","          29","0.5574166735"
"Wyoming","M","CHeyenne","25AUG2012","parttime","          28","0.4766704689"
"CA","M","San Jose","21FEB2012","fulltime","          38","0.2961789133"
"Arizona","F","Phoenix","20MAR2013","fulltime","          60","0.0024552075"
"Wyoming","F","CHeyenne","21FEB2012","parttime","          48","0.3402852269"
"CA","M","San Jose","13AUG2013","fulltime","          46","0.2851670009"
"AZ","F","Tucson","30MAR2013","parttime","          28","0.2455366316"
"OR","M","PORTland","24APR2013","other","          45","0.2418948376"
"CA","M","Los Angeles","19FEB2013","fulltime","          41","0.5487811088"
"CA","M","San Jose","21FEB2012","fulltime","          28","0.2643976017"
"UT","M","provo","26AUG2012","fulltime","          57"," 0.951252813"
"AZ","F","Phoenix","10JUL2013","other","          29","0.7732203206"
"CA","Male","Los Angeles","13AUG2013","fulltime","          32","0.2746992229"
"WA","F","Seatlle","06MAY2014","fulltime","          46","0.5982229824"
"CA","M","Los Angeles","05APR2012","fulltime","          35"," 0.160483589"
"Washington","F","Seatlle","01JAN2012","fulltime","          57","0.7445290348"
"CA","F","San Diego","15JUN2012","fulltime","          38","0.9940382461"
"CA","Male","Los Angeles","19FEB2013","fulltime","          28","0.9089912865"
"CA","M","San Diego","05DEC2013","fulltime","          29","0.0370424371"
"CO","M","Denver","08JUN2012","parttime","          41","0.8027198831"
"OR","M","PORTland","10FEB2012","other","          29","0.5135979771"
"WY","F","CHeyenne","08MAR2012","parttime","          36","0.1918671118"
"CA","Male","Los Angeles","17APR2012","fulltime","          29","0.0028528301"
"WY","M","CHeyenne","30MAR2013","parttime","          35","0.1453369414"
"CA","F","San Francisco","30MAR2013","fulltime","          61","0.0048851268"
"OR","M","PORTland","24SEP2012","other","          29","0.5070781328"
"CA","M","San Francisco","10FEB2012","fulltime","          31","0.8470585252"
"CA","F","San Diego","04MAY2012","fulltime","          28","0.2685539607"
"CA","F","San Francisco","13JAN2014","fulltime","          61","0.8486954495"
"AZ","F","Tucson","04MAY2012","parttime","          38","0.6203368649"
"UT","M","provo","30JUN2012","fulltime","          35","0.2514591572"
"CA","M","San Francisco","13AUG2013","fulltime","          59","0.6794789576"
"ID","M","BOISE","04JAN2014","fulltime","          42","0.0023092581"
"UT","F","provo","30MAR2013","fulltime","          47","0.7428297395"
"WA","M","Seattle","06APR2014","fulltime","          32","0.1591143367"
"CO","F","Denver","27DEC2012","parttime","          33","0.7009723558"
"OR","M","PORTland","25NOV2013","other","          54","0.2544015461"
"CA","F","Los Angeles","28NOV2013","fulltime","          30","0.7497654551"
"UT","M","provo","18MAY2014","fulltime","          34","0.4771731479"
"AZ","M","Phoenix","01MAY2012","other","          32","0.2507215758"
"CA","F","San Diego","03APR2012","fulltime","          34","0.2977377592"
"OR","M","PORTland","28AUG2012","other","          36","0.7081887632"
"ID","M","BOISE","06SEP2012","fulltime","          29","0.8552155648"
"AZ","M","Tucson","06DEC2012","fulltime","          45","0.2626220818"
"CA","Man","Los Angeles","22JAN2013","fulltime","          47","0.0706013525"
"CA","F","San Francisco","05JAN2012","fulltime","          30","0.8937750598"
"CA","F","San Diego","15MAY2014","fulltime","          43","0.5866278962"
"CA","Man","Los Angeles","19SEP2013","fulltime","          60","0.1913799533"
"WA","M","Seattle","16JUL2012","fulltime","          47","0.7511394991"
"AZ","F","Phoenix","17MAY2014","fulltime","          30","0.3575591661"
"OR","M","PORTland","01MAY2012","other","          39","0.2484158069"
"UT","M","provo","01APR2013","fulltime","          29","0.3955878999"
"CO","M","Denver","30MAR2013","parttime","          29","0.1005580212"
"CO","M","Denver","05JAN2012","fulltime","          63","0.1290352154"
"AZ","F","Tucson","06MAY2014","parttime","          28","0.1988649691"
"NV","F","Las Vegas","06MAY2014","fulltime","          34","0.1880285461"
"WA","F","Seatlle","28MAR2014","fulltime","          40","0.1760519613"
"CO","M","Denver","05SEP2013","fulltime","          58","0.8551085912"
"CA","Female","Los Angeles","19FEB2013","fulltime","          29","0.3254631638"
"WY","F","CHeyenne","30JUN2012","parttime","          28","0.6275507927"
"Arizona","F","Tucson","15FEB2014","fulltime","          28","0.8237341097"
"NV","M","Las Vegas","07MAR2013","fulltime","          39","0.0143399225"
"AZ","F","Phoenix","12APR2013","fulltime","          45","0.6409468146"
"WA","F","Seatlle","15JUN2012","fulltime","          29","0.8737440123"
"CA","M","San Francisco","21MAY2014","fulltime","          29","0.6190291916"
"CA","F","San Jose","01OCT2012","fulltime","          29","0.9360659173"
"CO","F","Denver","25JUL2013","parttime","          44","0.5458534688"
"CA","M","San Jose","08JUN2012","fulltime","          28","0.5477310664"
"Arizona","F","Tucson","08MAR2012","fulltime","          27","0.0310597066"
"Arizona","F","Tucson","19SEP2013","fulltime","          33","0.8539373064"
"Nevada","M","Las Vegas","25OCT2012","fulltime","          26","0.8802890465"
"CA","F","San Jose","05MAR2012","fulltime","          34","0.5376753474"
"Nevada","M","Las Vegas","01JUN2012","fulltime","          45","0.5657444408"
"Arizona","M","Phoenix","12DEC2012","other","          41","0.0386207188"
"Wyoming","M","CHeyenne","15NOV2013","parttime","          26","0.9356955643"
"CA","F","Los Angeles","22JAN2013","fulltime","          60","0.1330897473"
"CA","Male","Los Angeles","19FEB2013","fulltime","          29","0.6686827404"
"CA","F","San Francisco","30MAR2013","fulltime","          26","0.6498790377"
"CA","M","San Diego","17MAY2014","fulltime","          32","0.0759458701"
"NV","M","Las Vegas","30MAR2013","fulltime","          30","0.3611554743"
"CO","M","Denver","27OCT2013","parttime","          31","0.0537369517"
"CO","M","Denver","25JUL2013","parttime","          33","0.4012131725"
"AZ","F","Phoenix","03APR2012","fulltime","          34"," 0.775038984"
"WA","F","Seatlle","21MAY2014","fulltime","          26","0.5055983902"
"AZ","F","Phoenix","25MAR2013","fulltime","          28"," 0.917520408"
"CA","M","San Jose","05SEP2013","fulltime","          29","0.5839963637"
"OR","M","PORTland","13SEP2012","other","          30"," 0.435654619"
"CA","F","Los Angeles","22JAN2013","fulltime","          30","0.8384077232"
"WY","F","CHeyenne","06SEP2012","parttime","          33","0.1728004698"
"WY","M","CHeyenne","30MAR2013","parttime","          31","0.1553877439"
"WA","M","Seattle","16JUL2012","fulltime","          30","0.8660313845"
"UT","M","provo","21MAY2014","fulltime","          37","0.8377221803"
"Washington","M","Seattle","15MAR2012","fulltime","          31","0.3057277041"
"WA","M","Seattle","04JAN2014","fulltime","          56","0.5982511475"
"OR","M","PORTland","29MAR2014","other","          61","0.3688044848"
"CA","Female","Los Angeles","22JAN2013","fulltime","          37"," 0.713416892"
"UT","M","provo","01APR2013","fulltime","          29","0.4589114964"
"ID","F","BOISE","13AUG2013","parttime","          45"," 0.022654328"
"Arizona","F","Phoenix","15JAN2012","fulltime","          36","0.2704593066"
"CA","F","San Diego","28AUG2012","fulltime","          42","0.7620145654"
"CA","M","San Francisco","26AUG2012","fulltime","          45","0.9450344718"
"CO","M","Denver","06SEP2012","parttime","          29","0.2169419444"
"CA","M","San Francisco","28MAR2014","fulltime","          49","0.4926180488"
"Wyoming","M","CHeyenne","30MAR2013","parttime","          33","0.2380986541"
"AZ","M","Phoenix","30MAR2012","fulltime","          60","0.7941862917"
"OR","M","PORTland","17MAY2014","other","          28","0.8470174027"
"ID","M","BOISE","18DEC2012","fulltime","          45","0.3636107046"
"CA","Female","Los Angeles","24SEP2012","fulltime","          28","0.3827790941"
"CA","F","Los Angeles","22JAN2013","fulltime","          48"," 0.182648406"
"CA","F","San Francisco","29MAR2014","fulltime","          42","0.4601507776"
"CA","F","San Francisco","15FEB2014","fulltime","          54","0.7337332138"
"OR","F","PORTland","05JAN2012","other","          44","0.7355761676"
"CA","F","San Diego","30MAR2013","fulltime","          32"," 0.818353407"
"AZ","M","Phoenix","14OCT2013","fulltime","          29","0.6656229629"
"CO","M","Denver","04MAY2014","parttime","          29","0.6787610625"
"OR","M","PORTland","30MAR2012","other","          61","0.3072322613"
"WA","M","Seattle","03APR2014","fulltime","          28","0.2198475647"
"Arizona","F","Phoenix","05MAR2012","other","          37","0.5190938229"
"CA","M","San Francisco","17MAY2014","fulltime","          51"," 0.082371512"
"CA","M","San Jose","26JAN2012","fulltime","          27","0.6485047041"
"CO","M","Denver","19JAN2014","parttime","          28","0.3158181921"
"NV","F","Las Vegas","04DEC2012","fulltime","          43","0.6162035673"
"CA","Female","Los Angeles","22JAN2013","fulltime","          28","0.2799483925"
"OR","M","PORTland","22MAY2014","other","          29"," 0.820190132"
"Arizona","F","Phoenix","04DEC2012","fulltime","          30","0.4009777077"
"AZ","F","Tucson","08MAR2012","fulltime","          53"," 0.036519385"
"CA","M","San Francisco","05MAR2012","fulltime","          32","0.5865273814"
"WA","M","Seattle","04JUN2013","fulltime","          35"," 0.748765306"
"CA","Male","Los Angeles","16DEC2013","fulltime","          30","0.6476857125"
"UT","M","provo","01JAN2012","fulltime","          63","0.1542488323"
"WY","M","CHeyenne","21MAY2014","parttime","          36","0.3829694164"
"CO","F","Denver","20MAR2013","parttime","          56","0.2118220177"
"Arizona","F","Tucson","12DEC2012","fulltime","          26","0.3327766705"
"CA","M","San Francisco","10OCT2013","fulltime","          60","0.6284359496"
"CO","F","Denver","28AUG2012","parttime","          35","0.2961593942"
"CA","F","San Jose","01APR2013","fulltime","          41","0.9528884669"
"Nevada","F","Las Vegas","19JAN2014","fulltime","          51","0.2928642585"
"CA","M","San Jose","08OCT2012","fulltime","          40","0.0761902552"
"CA","M","Los Angeles","19FEB2013","fulltime","          29","0.3612217625"
"Nevada","M","Las Vegas","18JUL2012","fulltime","          29","0.2750000629"
"AZ","M","Phoenix","16JUL2012","other","          44","0.7687717326"
"UT","F","provo","24SEP2012","fulltime","          61","0.9057048559"
"CA","Female","Los Angeles","22JAN2013","fulltime","          35","0.2603269258"
"CO","M","Denver","04DEC2012","fulltime","          34","0.4132467128"
"CA","Female","Los Angeles","22JAN2013","fulltime","          33","0.2019728907"
"Arizona","F","Phoenix","03APR2014","fulltime","          31","0.6142295173"
"CO","M","Denver","26JAN2012","parttime","          28","0.3177454119"
"Washington","M","Seattle","15JAN2012","fulltime","          51","0.7022875909"
"UT","F","provo","18MAY2014","fulltime","          33"," 0.303311743"
"CA","M","San Francisco","06SEP2012","fulltime","          46","0.6591586781"
"CA","M","Los Angeles","19FEB2013","fulltime","          44","0.2912737868"
"CA","F","San Jose","15SEP2013","fulltime","          34","0.5328604032"
"OR","M","PORTland","19JAN2014","other","          35","0.6226430031"
"Washington","M","Seattle","25JUL2013","fulltime","          30","0.8128525237"
"CA","F","San Francisco","15MAR2012","fulltime","          40","0.5964445046"
"Arizona","M","Phoenix","16MAY2013","other","          54","0.9774201233"
"UT","M","provo","05SEP2013","fulltime","          28","0.6363902095"
"WA","F","Seatlle","08JUN2012","fulltime","          36","0.0056186048"
"AZ","F","Tucson","26JAN2012","parttime","          34","0.1061873567"
"AZ","M","Phoenix","29MAR2014","fulltime","          28"," 0.709262471"
"CA","M","San Diego","20MAR2013","fulltime","          36","0.6094424667"
"AZ","M","Phoenix","04JAN2014","other","          29","0.6145192504"
"UT","F","provo","18JUL2012","fulltime","          35","0.2419556353"
"CA","M","San Diego","27DEC2012","fulltime","          26"," 0.866312181"
"Wyoming","M","CHeyenne","05APR2012","parttime","          37","0.8651526453"
"NV","M","Las Vegas","15MAY2012","fulltime","          33","0.8142791688"
"CA","M","San Diego","15MAY2012","fulltime","          46","0.3674323337"
"UT","M","provo","18DEC2012","fulltime","          33","0.2762416742"
"AZ","M","Tucson","04MAY2014","fulltime","          26","0.3239019654"
"WA","F","Seatlle","08MAY2013","fulltime","          29"," 0.123967974"
"CA","Female","Los Angeles","04MAY2012","fulltime","          34","0.9583968087"
"ID","F","BOISE","25JUL2013","fulltime","          33","0.0894197631"
"Washington","M","Seattle","30MAR2013","fulltime","          37","0.7122000478"
"AZ","F","Phoenix","05JAN2012","fulltime","          55","0.4327432916"
"CA","M","Los Angeles","19FEB2013","fulltime","          30","0.9599482617"
"UT","F","provo","16MAY2013","fulltime","          27","0.2979536845"
"UT","M","provo","06APR2014","fulltime","          26","0.7427721809"
"CA","F","Los Angeles","06JUL2013","fulltime","          39","0.6399550618"
"NV","M","Las Vegas","18MAY2014","fulltime","          28","0.5183042626"
"OR","F","PORTland","01MAY2012","other","          39","0.1856443548"
"WY","M","CHeyenne","07FEB2012","parttime","          63","0.3360770803"
"CA","M","San Francisco","30MAR2012","fulltime","          42"," 0.407713873"
"UT","F","provo","10NOV2013","fulltime","          33","0.2537885412"
"CA","F","San Diego","05SEP2013","fulltime","          29","0.5431555042"
"OR","M","PORTland","06DEC2012","other","          42","0.0881680246"
"AZ","M","Tucson","16DEC2013","fulltime","          46","0.2944856809"
"WA","F","Seatlle","30MAR2013","fulltime","          29","0.6803440739"
"ID","F","BOISE","16APR2014","parttime","          37","0.6642901672"
"UT","F","provo","06SEP2012","fulltime","          28","0.8528189984"
"CA","Female","Los Angeles","19FEB2013","fulltime","          34","0.8955284985"
"Arizona","M","Phoenix","10JUL2013","fulltime","          45","0.2640121045"
"AZ","M","Tucson","27OCT2013","fulltime","          29","0.5685679794"
"CA","F","San Jose","15MAR2012","fulltime","          45","0.0320701231"
"WY","M","CHeyenne","16JUL2012","parttime","          28","0.5706542938"
"Washington","M","Seattle","21MAY2014","fulltime","          36","0.3002283379"
"WA","M","Seattle","13SEP2012","fulltime","          39","0.3970664974"
"WA","F","Seatlle","04DEC2012","fulltime","          28","0.8390858466"
"Wyoming","M","CHeyenne","06JUL2013","parttime","          43","0.3491567626"
"Arizona","M","Tucson","19JAN2014","fulltime","          39","0.2086486682"
"CA","Man","Los Angeles","19FEB2013","fulltime","          58","0.5994947583"
"AZ","F","Tucson","30MAR2013","parttime","          63","0.0550242476"
"AZ","M","Phoenix","15JAN2012","fulltime","          31","0.2349090265"
"CO","F","Denver","05MAR2012","parttime","          36","0.2741331366"
"CA","M","San Diego","13AUG2013","fulltime","          34","0.8154898644"
"Arizona","M","Phoenix","20MAR2013","fulltime","          34","0.9474469512"
"AZ","M","Tucson","05APR2012","fulltime","          36","0.6607330608"
"AZ","F","Phoenix","26AUG2012","fulltime","          39","0.0237990907"
"CA","F","San Francisco","04AUG2013","fulltime","          26","0.8348528258"
"OR","F","PORTland","10OCT2013","other","          38","0.2580998662"
"OR","F","PORTland","05SEP2013","other","          29","0.2941956317"
"OR","M","PORTland","10NOV2013","other","          54","0.9829691672"
"NV","F","Las Vegas","07MAR2013","fulltime","          39","0.9686689121"
"AZ","M","Phoenix","25JUL2013","other","          29","0.8746257284"
"Arizona","F","Tucson","04DEC2012","fulltime","          30","0.4382678785"
"UT","M","provo","25AUG2012","fulltime","          57","0.0934747076"
"UT","M","provo","19JAN2014","fulltime","          29","0.8682248229"
"CO","M","Denver","15NOV2013","parttime","          26","0.9776754589"
"CA","F","San Francisco","20MAR2013","fulltime","          42","0.6959543571"
"UT","M","provo","08MAY2013","fulltime","          41","0.3816834057"
"OR","M","PORTland","06JUL2013","other","          28","0.7361601092"
"Arizona","M","Tucson","16DEC2013","fulltime","          56","0.5183712549"
"Nevada","M","Las Vegas","01JUN2012","fulltime","          34","0.5426731331"
"UT","M","provo","16DEC2013","fulltime","          34","0.1778447489"
"ID","M","BOISE","17MAY2014","fulltime","          29","0.1504723645"
"AZ","F","Phoenix","05DEC2013","fulltime","          37","0.2794016508"
"CA","F","San Diego","01MAY2012","fulltime","          28","0.3117921349"
"AZ","M","Phoenix","16JUL2012","other","          43","0.7055724145"
"Nevada","M","Las Vegas","07MAR2013","fulltime","          39"," 0.018527152"
"AZ","M","Phoenix","15FEB2014","fulltime","          33","0.0186418328"
"AZ","F","Tucson","30MAR2013","parttime","          35","0.9494631323"
"Arizona","M","Phoenix","30MAR2012","fulltime","          28","0.8669908875"
